"ID","MonthlyIncome"
871,5717.14146619615
872,2751.8431275538
873,12863.1631692071
874,2704.81594475931
875,2788.18560523664
876,4922.82439609679
877,5646.95153285466
878,2377.00464313779
879,3128.4681781221
880,13438.7351234498
881,9727.48410236025
882,2620.07109564051
883,5628.71976561241
884,5522.84732970575
885,5818.26598817725
886,5589.65930471031
887,5788.90928126621
888,5649.66229197005
889,4494.78866760395
890,2743.86737711136
891,4626.86482569807
892,9012.44562075985
893,8905.49507457279
894,5669.15018210316
895,9974.05634902066
896,9199.00087703753
897,8918.19789597015
898,16140.0037397196
899,5696.80195914737
900,2774.9541553448
901,2619.42141034437
902,5721.29522339959
903,6061.55370099187
904,2702.96385037936
905,16497.2774798308
906,5501.29131793362
907,9459.50473069122
908,5872.67926796529
909,2581.402859841
910,2631.40872805006
911,19256.633036219
912,2948.05138132245
913,2669.65882868685
914,12628.6393381419
915,5761.58201239456
916,4239.62764606553
917,2790.62861433696
918,5478.44298338899
919,2458.68612876627
920,3021.57640251081
921,2470.13806032558
922,2500.06512112102
923,4449.73463599105
924,4547.87667706035
925,16844.1500613681
926,2903.30527138762
927,5713.56157623968
928,12835.3079381065
929,2481.75048800983
930,2782.78800601494
931,6076.36426219577
932,12517.2895426972
933,8947.26629459028
934,2514.49573809491
935,2310.00760770299
936,2491.30184443497
937,9276.86969043249
938,9551.22257704232
939,4969.80491034385
940,2463.52395638054
941,3047.36903735531
942,9134.34512259375
943,9910.28487435687
944,5665.33675096221
945,2355.40538622439
946,5605.79733526899
947,2319.25302574049
948,2813.43551594713
949,2818.0797210331
950,5641.59536656743
951,2963.11814144842
952,5569.20073191092
953,5547.14219935576
954,2741.40377804722
955,4411.55035374979
956,7728.06116547307
957,10466.8581250776
958,2892.59293881315
959,9549.29284984626
960,19835.8597376846
961,2833.00808671612
962,4761.11454199426
963,5836.68635286708
964,4633.14691267187
965,2755.59579706792
966,19452.2265433017
967,2753.05258445737
968,8864.15932735931
969,16805.0948335188
970,2721.74834140928
971,5636.28063321466
972,5723.98560052324
973,2608.05939247376
974,2654.21562966023
975,5737.34439356894
976,2781.08430573159
977,6078.67469508941
978,2780.31032163203
979,9411.48534783572
980,19065.1760851476
981,2732.85290164648
982,9259.79012926942
983,2745.89604654619
984,2646.33177619692
985,5710.87996918618
986,2851.06707440072
987,2705.5311582831
988,5575.28944936324
989,9653.55655592699
990,2650.84995219588
991,4893.65705267775
992,2772.57667447213
993,4823.03164653225
994,5584.18407267247
995,5451.79349857599
996,4972.82502869289
997,2820.69225736854
998,16719.9660979028
999,9080.05090855631
1000,2352.33859932792
1001,4955.73339462933
1002,4351.50412134877
1003,4751.22467427358
1004,6387.5834932298
1005,3093.22114836094
1006,5690.27776889103
1007,2504.08571949447
1008,5736.42572867424
1009,19224.5273180577
1010,4740.79056037996
1011,9393.68905339748
1012,4852.39062918915
1013,5848.55089152072
1014,4467.9664032333
1015,5620.99316627228
1016,2780.19631265015
1017,2747.45811038483
1018,8950.20354707038
1019,9159.01116640362
1020,2492.18983751641
1021,5660.21412585945
1022,5617.44766143051
1023,4588.93618888341
1024,9746.84418288752
1025,16202.5499395899
1026,18801.7701255961
1027,4489.34583995053
1028,5533.55966228022
1029,5453.43138046381
1030,8624.1655756738
1031,5419.91214627917
1032,2878.46970034263
1033,12341.9597246141
1034,2571.79978065986
1035,4542.08883346633
1036,2723.84579139429
1037,5578.09535522016
1038,8087.67095352246
1039,12511.9748093444
1040,5776.98749178817
1041,2570.35201597099
1042,2925.09959094504
1043,8932.06169351684
1044,6136.88558812847
1045,2862.76760356687
1046,2462.05361843742
1047,5776.82804640248
1048,12398.4070536597
1049,2833.27077996249
1050,5603.27973770299
1051,10192.0901476555
1052,2718.85956968342
1053,5780.22182262933
1054,2890.02534074153
1055,2820.22239944982
1056,2636.18102743669
1057,5656.44212765298
1058,16279.0498506956
1059,5144.28437278272
1060,2968.81281903119
1061,4790.14855549969
1062,5786.24805620444
1063,6071.06534673292
1064,2426.63904473156
1065,5776.77327929604
1066,2583.69747484472
1067,3567.25948433069
1068,19407.556398186
1069,5453.9082862023
1070,2453.37844323327
1071,2667.75644134587
1072,5979.24986992233
1073,2419.94207491758
1074,5670.25115809324
1075,5674.8519075057
1076,16618.1403043188
1077,19234.7213119592
1078,4435.3524997714
1079,4669.84550261913
1080,5087.59913572856
1081,3038.36011489631
1082,2675.86155512106
1083,2371.25967259397
1084,5945.74291661028
1085,9022.50303498536
1086,9395.21491735447
1087,5598.82890213849
1088,2764.41460232798
1089,2837.5003552151
1090,5460.95081513159
1091,5496.32919151593
1092,5890.7990172767
1093,12455.9527997305
1094,5489.93634788278
1095,5550.50787682011
1096,5743.78571795633
1097,3398.92371442267
1098,2756.30750526236
1099,2792.63644080114
1100,5822.49033037704
1101,18954.5072545612
1102,5648.50654887354
1103,5976.23498462611
1104,10097.9790025418
1105,2842.42809651808
1106,2894.60752292922
1107,3046.43932117152
1108,4709.08000435037
1109,5686.04114581866
1110,5543.36666413195
1111,5883.08118800673
1112,12582.8527553639
1113,12661.2532416038
1114,6073.64827002756
1115,9736.82296854366
1116,3005.35921938463
1117,6351.38265199166
1118,4636.64068443686
1119,9706.80075844655
1120,2617.6988503808
1121,9365.8423925535
1122,16548.0332368462
1123,4776.79604880619
1124,16306.8673594777
1125,2762.50697937403
1126,2365.03960851847
1127,2739.67598247069
1128,4564.63304183013
1129,16158.1041603387
1130,2462.96599697992
1131,12524.7604966107
1132,16125.6630364344
1133,5725.02227786916
1134,2451.04420750188
1135,2879.46169243154
1136,2550.48236684092
1137,3181.53588778256
1138,5785.09231310792
1139,9177.80975307306
1140,16086.4866153343
1141,5870.32988585513
1142,5728.59339775547
1143,9858.89524993521
1144,5475.54716384336
1145,4804.63414755211
1146,5581.98641917723
1147,4306.45190194268
1148,2506.85200462372
1149,2754.86324590284
1150,5713.2318350143
1151,2746.01005552808
1152,5654.38105383373
1153,5201.93776996021
1154,2544.29668788013
1155,6115.27586254929
1156,12741.7079102474
1157,2503.61586157575
1158,4886.30390324333
1159,2660.65695404762
1160,5658.12849029503
1161,2907.64885562212
1162,9014.20961621803
1163,2846.07380487008
1164,9215.06937589924
1165,2963.20100731736
1166,2353.67940285467
1167,9285.63296711854
1168,5612.47848719306
1169,2855.98776788394
1170,2860.05161139866
